,total_corner,home_corner_ma,home_tt_coner_ma,away_corner_ma,away_total_corner_ma,home_wide_pass,home_cross,away_wide_pass,away_cross
0,9.0,5.0,11.8,4.8,10.8,10.2,15.0,11.2,13.4
1,8.0,4.6,10.8,4.4,10.4,10.8,14.4,13.0,16.2
2,9.0,8.6,10.8,6.4,10.4,24.4,21.2,18.2,19.0
3,10.0,6.8,11.2,6.4,13.0,11.6,19.4,20.8,21.8
4,15.0,5.2,10.6,7.0,11.0,13.4,19.8,13.2,23.6
5,10.0,4.8,10.4,3.0,12.6,10.0,18.8,9.6,8.8
6,10.0,5.2,9.4,4.6,8.8,16.8,14.4,17.6,17.8
7,13.0,5.4,10.2,5.0,11.6,13.8,14.6,14.4,16.2
8,10.0,5.0,9.0,8.0,11.6,15.6,17.0,18.2,27.0
9,13.0,5.8,12.0,2.8,11.2,19.0,13.6,17.8,15.2
10,12.0,5.2,11.2,5.6,11.0,10.8,12.6,18.6,14.6
11,10.0,3.6,11.0,5.8,10.6,18.4,18.8,12.2,21.0
12,7.0,5.8,11.2,6.2,10.8,15.0,19.4,16.0,17.0
13,12.0,4.0,12.2,4.4,11.8,18.4,18.4,11.8,17.8
14,7.0,7.2,12.0,9.4,12.2,17.6,24.8,24.4,24.6
15,10.0,5.4,11.2,3.2,12.0,14.4,13.6,10.6,10.4
16,7.0,5.2,9.4,4.6,10.6,18.2,18.4,16.4,17.2
17,11.0,6.8,12.6,6.6,11.0,12.2,22.6,16.6,22.6
18,9.0,6.0,10.2,4.6,10.8,10.6,17.4,9.4,15.2
19,15.0,5.4,9.2,7.0,13.0,19.8,19.0,16.6,15.6
20,16.0,2.8,11.6,3.0,10.0,11.2,10.0,17.2,18.0
21,16.0,5.0,9.2,7.4,11.2,11.0,17.4,19.2,26.4
22,8.0,3.4,9.2,4.8,11.6,13.6,14.8,19.6,19.2
23,10.0,5.8,10.4,6.8,10.2,18.6,22.4,18.8,19.8
24,14.0,6.0,10.0,6.4,12.4,14.4,17.0,12.2,21.8
25,4.0,5.6,10.6,5.6,10.8,19.4,15.8,15.6,15.4
26,7.0,4.6,11.4,5.4,9.0,14.2,19.0,17.2,16.8
27,19.0,6.4,12.6,5.4,10.6,16.0,16.2,11.0,13.2
28,10.0,7.2,10.6,5.2,10.6,24.0,21.0,14.2,19.0
29,10.0,3.6,10.2,5.8,10.2,9.6,12.6,17.2,19.4
30,13.0,5.6,12.6,4.6,13.0,10.0,13.4,14.0,12.6
31,12.0,4.2,12.0,2.6,8.2,18.6,20.0,16.2,14.4
32,4.0,4.6,11.2,4.2,10.2,9.6,15.8,14.2,19.8
33,13.0,4.4,10.8,5.8,9.8,12.0,15.0,12.4,15.6
34,13.0,8.0,13.2,4.6,8.4,17.8,26.6,19.2,15.8
35,9.0,5.8,9.8,8.0,10.8,18.0,15.8,26.8,26.0
36,11.0,4.6,8.6,3.2,9.8,17.4,15.0,8.4,12.8
37,13.0,7.2,10.0,5.8,11.0,19.2,20.8,9.4,17.2
38,4.0,5.4,10.4,5.4,10.4,13.8,18.8,18.2,20.4
39,19.0,6.4,13.0,8.4,14.4,14.2,21.4,17.0,18.4
40,9.0,4.4,10.0,8.2,10.8,15.4,17.8,20.2,22.4
41,15.0,5.2,10.2,5.8,13.4,12.4,14.0,10.8,16.6
42,11.0,5.4,11.6,6.2,9.4,9.4,18.4,22.0,17.6
43,14.0,3.4,9.0,7.0,15.4,17.8,14.0,14.2,22.4
44,20.0,8.0,10.8,5.2,11.4,28.8,29.2,21.2,23.4
45,5.0,3.4,8.8,8.8,13.0,17.6,15.8,18.4,26.4
46,17.0,8.6,14.8,3.4,8.6,14.8,19.4,16.0,11.4
47,11.0,4.8,9.2,5.4,10.0,18.8,21.4,15.8,20.8
48,9.0,2.0,9.8,3.4,9.2,6.8,10.2,10.8,15.2
49,11.0,5.6,13.6,5.4,10.2,12.8,12.6,12.4,17.0
50,17.0,10.8,16.6,3.2,8.6,14.6,24.6,9.2,15.6
51,12.0,6.2,14.2,4.4,9.2,19.8,23.6,18.0,21.2
52,14.0,6.4,13.6,6.8,10.0,11.4,20.2,16.0,19.0
53,7.0,4.8,11.6,6.4,9.2,9.0,13.4,22.8,18.0
54,13.0,5.4,14.6,5.2,12.0,12.8,18.8,10.0,18.6
55,17.0,7.4,11.0,3.6,8.2,27.2,24.6,16.8,15.2
56,11.0,2.8,8.0,5.2,12.0,18.0,14.2,13.4,12.6
57,10.0,4.6,10.6,2.4,9.4,16.2,17.2,7.4,13.6
58,11.0,3.8,10.6,7.8,10.2,17.2,14.4,24.6,22.8
59,12.0,5.8,14.0,5.6,9.6,18.8,21.2,20.6,27.0
60,7.0,8.4,11.2,5.2,10.8,18.4,24.4,12.4,19.4
61,14.0,5.2,12.2,4.2,11.2,12.8,11.4,11.2,16.0
62,9.0,7.4,10.4,10.6,17.4,23.2,23.0,15.0,27.0
63,9.0,2.0,9.8,6.2,14.6,6.8,12.0,11.4,20.8
64,8.0,5.2,10.2,6.2,14.2,11.4,16.4,13.0,20.8
65,14.0,2.8,9.8,7.0,9.6,14.2,11.2,16.2,21.6
66,15.0,5.0,12.6,5.4,10.6,9.4,18.2,21.0,21.4
67,7.0,6.4,8.6,3.6,10.2,19.6,15.4,16.6,16.6
68,17.0,6.6,9.8,9.8,12.6,21.4,30.2,32.4,32.4
69,9.0,3.6,9.4,4.8,14.4,11.0,16.2,16.0,18.4
70,7.0,7.4,10.8,3.8,8.6,14.8,19.6,15.4,14.6
71,13.0,3.8,8.6,6.6,10.4,16.6,14.8,18.0,20.6
72,12.0,3.8,12.6,6.6,13.6,11.2,14.0,10.0,20.6
73,10.0,12.0,14.6,6.8,8.6,32.6,36.0,21.8,17.4
74,14.0,7.8,11.0,6.2,13.0,17.4,23.0,17.0,14.4
75,17.0,2.6,9.6,6.6,11.2,13.4,13.8,20.4,30.2
76,14.0,5.8,14.0,4.6,9.8,11.8,22.2,11.6,18.2
77,14.0,10.0,16.2,2.6,10.2,15.8,26.2,11.2,8.4
78,10.0,5.0,11.2,4.8,9.4,19.0,21.6,13.6,17.8
79,9.0,5.8,13.6,6.8,9.2,13.4,20.4,15.0,19.2
80,17.0,4.2,13.0,3.0,9.8,13.6,20.4,6.0,14.0
81,11.0,6.2,12.8,4.0,12.2,9.2,20.2,13.2,17.0
82,12.0,6.4,9.2,5.2,12.4,21.6,18.2,19.6,23.0
83,9.0,8.0,13.8,4.2,9.6,20.2,30.6,15.6,16.4
84,11.0,3.4,11.2,11.8,14.6,7.2,16.4,28.8,32.8
