,total_corner,home_corner_ma,home_tt_coner_ma,away_corner_ma,away_total_corner_ma,home_wide_pass,home_cross,away_wide_pass,away_cross
0,10.0,10.0,13.5,6.5,12.5,15.5,28.0,19.5,13.5
1,11.0,5.0,10.0,6.0,11.5,14.0,22.5,13.0,15.5
2,10.0,4.5,10.5,8.5,9.5,16.5,16.5,33.5,23.5
3,11.0,2.5,7.0,7.5,10.5,14.5,20.0,17.5,27.5
4,17.0,10.0,12.0,15.0,18.5,25.0,39.0,40.5,42.5
5,9.0,6.0,17.0,4.0,10.0,11.5,21.0,16.5,19.0
6,11.0,6.0,13.0,5.5,11.0,15.0,18.5,16.5,27.5
7,9.0,4.0,7.5,4.0,8.5,16.5,18.0,13.0,25.5
8,11.0,7.0,9.5,7.0,9.0,23.0,26.0,30.5,28.0
9,12.0,6.5,10.5,7.0,11.5,19.0,25.5,19.0,23.5
10,16.0,5.5,9.5,4.0,5.5,24.5,20.0,15.0,16.0
11,17.0,5.5,8.0,4.5,6.0,20.5,16.0,20.0,21.5
12,24.0,6.5,13.0,2.5,8.5,13.5,21.0,5.0,16.5
13,13.0,10.5,16.0,3.5,14.0,23.0,32.5,12.0,15.0
14,6.0,7.5,10.0,6.0,15.5,30.0,24.0,14.5,13.0
15,12.0,4.5,6.0,5.5,9.5,28.0,20.5,23.0,24.5
16,17.0,8.5,14.0,3.0,12.5,31.0,28.5,10.5,17.0
17,10.0,10.0,10.5,5.0,8.5,16.5,22.5,20.0,16.5
18,9.0,3.5,12.0,9.0,11.0,8.5,15.5,21.5,23.5
19,7.0,3.5,9.0,7.0,9.5,6.5,14.5,26.5,21.0
20,10.0,6.0,8.0,3.0,6.5,23.0,20.0,10.0,16.5
21,3.0,6.0,8.5,4.5,11.0,20.0,21.0,17.0,22.5
22,3.0,8.0,11.5,4.0,6.5,13.5,21.0,27.0,19.0
23,13.0,1.5,3.0,4.5,11.0,21.0,13.5,11.0,18.0
24,7.0,5.5,12.5,6.0,8.0,13.5,19.5,11.5,18.0
25,10.0,6.5,10.0,5.5,11.5,13.5,18.5,14.0,17.0
26,11.0,6.0,12.0,5.0,11.5,15.5,26.5,14.5,12.5
27,9.0,4.5,11.5,7.5,12.5,10.0,12.5,31.0,30.5
28,10.0,5.5,10.0,1.5,11.5,33.0,19.5,5.5,7.5
29,11.0,8.0,15.5,9.5,13.5,9.5,18.0,32.0,36.0
30,10.0,11.0,14.0,4.5,11.0,14.5,40.0,18.5,19.0
31,12.0,8.5,10.5,3.5,9.0,17.0,32.5,15.0,21.0
32,3.0,4.0,9.0,9.5,11.0,9.0,10.0,37.0,31.0
33,10.0,5.0,13.5,7.0,7.5,7.5,21.5,38.0,26.0
34,8.0,3.0,6.5,9.5,10.5,29.5,12.5,17.5,30.0
35,7.0,4.5,9.0,6.5,7.0,29.5,20.0,25.5,15.5
36,14.0,2.5,11.5,5.5,7.5,8.5,15.0,25.5,24.0
37,9.0,9.0,10.5,2.5,9.5,20.5,26.0,15.0,16.5
38,7.0,3.5,11.0,9.5,11.5,13.5,15.0,25.5,30.0
39,7.0,5.0,8.0,4.5,8.0,22.5,21.5,26.5,15.5
40,13.0,4.0,7.0,3.5,4.5,16.0,14.5,20.5,21.5
41,5.0,4.0,8.0,7.0,10.0,14.5,24.0,31.0,26.5
42,3.0,2.5,12.5,5.5,9.0,5.5,5.5,29.0,25.0
43,7.0,2.0,4.0,4.5,10.5,16.5,16.5,15.5,24.0
44,9.0,7.5,12.5,3.0,13.5,19.0,19.0,12.0,13.5
45,12.0,7.0,13.5,2.5,10.0,19.0,17.0,8.0,7.5
46,10.0,4.0,13.0,7.0,10.5,6.0,14.5,24.0,21.5
47,13.0,3.0,14.5,8.5,16.0,9.5,14.5,19.0,19.5
48,15.0,10.0,17.5,6.5,13.5,24.5,23.0,11.5,26.0
49,14.0,2.0,11.0,10.5,14.0,6.5,2.5,24.0,22.0
50,12.0,12.5,14.5,8.0,15.0,20.5,26.5,13.0,31.0
51,15.0,9.5,13.0,6.5,12.0,19.5,26.5,24.0,19.5
