playerName,AerialLossPerD90m,AerialLossPerDefense,AerialLossTotal,AerialWonPerD90m,AerialWonPerDefense,AerialWonTotal,AttackTimes,ClearPerD90m,ClearPerDefense,ClearTotal,DefendTimes,DispossessedInD3rdPerA90m,DispossessedInD3rdPerAttack,DispossessedInD3rdTotal,DispossessedPerA90m,DispossessedPerAttack,DispossessedTotal,DribblePerA90m,DribblePerAttack,DribbleTotal,ForwardPassMeterPerA90m,ForwardPassMeterPerAttack,ForwardPassMeterTotal,ForwardPassPerA90m,ForwardPassPerAttack,ForwardPassTotal,FoulPerD90m,FoulPerDefense,FoulTotal,FouledPerA90m,FouledPerAttack,FouledTotal,GoalPerA90m,GoalPerAttack,GoalTotal,InterceptionsPerD90m,InterceptionsPerDefense,InterceptionsTotal,KeyPassPerA90m,KeyPassPerAttack,KeyPassTotal,PassCrossAccuratePerA90m,PassCrossAccuratePerAttack,PassCrossAccurateTotal,PassLeadingKpPerA90m,PassLeadingKpPerAttack,PassLeadingKpTotal,PassPerA90m,PassPerAttack,PassTotal,Rounds,SavePerD90m,SavePerDefense,SaveTotal,ShotPerA90m,ShotPerAttack,ShotTotal,SuccessPassPerA90m,SuccessPassPerAttack,SuccessPassTotal,SuccessfulPassToA3rdPerA90m,SuccessfulPassToA3rdPerAttack,SuccessfulPassToA3rdTotal,TacklesPerD90m,TacklesPerDefense,TacklesTotal,TurnoverPerA90m,TurnoverPerAttack,TurnoverTotal,UnSuccessPassPerA90m,UnSuccessPassPerAttack,UnSuccessPassTotal,minutes,opponent_team_id,team_id
Mike te Wierik,2.86118898297737,0.48466690165667964,55.0,3.537470015317475,0.5992245329573492,68.0,1541.533333333333,7.126961648507267,1.2072611913993656,137.0,1730.0500000000004,0.23353371102365617,0.035248501938667604,4.0,0.3503005665354842,0.052872752908001405,6.0,0.1751502832677421,0.026436376454000703,3.0,41.88392168990322,6.321766088562722,717.3940157300977,56.1648575011893,8.47726471624956,962.0,1.9247998612756854,0.3260486429326754,37.0,1.4595856938978509,0.22030313711667251,25.0,0.0,0.0,0.0,4.1097078119129495,0.6961579132886853,79.0,0.46706742204731233,0.07049700387733521,8.0,0.29191713877957015,0.04406062742333451,5.0,0.3503005665354842,0.052872752908001405,6.0,81.97033256930331,12.37222418047233,1404.0,11348,0.0,0.0,0.0,0.8173679885827965,0.12336975678533663,14.0,60.66038143839469,9.15579837856891,1039.0,3.7365393763784986,0.5639760310186817,64.0,2.0808647148926327,0.3524850193866761,40.0,0.5254508498032263,0.07930912936200211,9.0,14.012022661419367,2.1149101163200563,240.0,1433.0,15413,26530
Jeffrey Chabot,3.6535859269282804,0.629080118694362,53.0,7.031429519748766,1.2106824925816024,102.0,1118.7499999999998,6.755687185640971,1.1632047477744807,98.0,1305.566666666667,0.3217877094972068,0.04747774480712166,4.0,0.7240223463687153,0.10682492581602374,9.0,0.8849162011173186,0.13056379821958455,11.0,108.91183964161843,16.06925428276434,1353.8346733228955,75.78100558659219,11.181008902077151,942.0,1.930196338754563,0.3323442136498516,28.0,1.7698324022346372,0.2611275964391691,22.0,0.0804469273743017,0.011869436201780416,1.0,2.9642300916587936,0.5103857566765578,43.0,0.4022346368715084,0.05934718100890207,5.0,0.0,0.0,0.0,0.4022346368715084,0.05934718100890207,5.0,96.93854748603354,14.3026706231454,1205.0,8425,0.0,0.0,0.0,0.8044692737430168,0.11869436201780414,10.0,69.02346368715085,10.183976261127595,858.0,6.516201117318437,0.9614243323442135,81.0,2.61955217402405,0.45103857566765576,38.0,1.1262569832402236,0.1661721068249258,14.0,27.27150837988827,4.023738872403561,339.0,893.0,14294,23498
Daniel Schwaab,4.158587400470315,0.6326968704101232,56.0,5.940839143529022,0.9038526720144615,80.0,1665.8499999999997,8.242914311646519,1.2540955824200655,111.0,1211.9500000000003,0.10805294594351235,0.022596316800361543,2.0,0.2161058918870247,0.045192633600723085,4.0,0.1620794189152685,0.03389447520054231,3.0,214.13467266931843,44.78040704329505,3963.513827402045,105.62175465978332,22.087899672353405,1955.0,1.1139073394116916,0.16947237600271156,15.0,0.27013236485878084,0.056490792000903844,5.0,0.054026472971756175,0.011298158400180771,1.0,2.2278146788233832,0.3389447520054231,30.0,0.2161058918870247,0.045192633600723085,4.0,0.0,0.0,0.0,0.10805294594351235,0.022596316800361543,2.0,128.0427409430621,26.77663540842843,2370.0,8851,0.0,0.0,0.0,0.7023441486328302,0.14687605920235003,13.0,113.02338145691391,23.635747373178173,2092.0,7.995917999819913,1.6721274432267539,148.0,2.67337761458806,0.4067337024065077,36.0,0.27013236485878084,0.056490792000903844,5.0,14.749227121289435,3.0843972432493505,273.0,1227.0,15051,3999
Nick Viergever,5.6270515292033565,0.836732559355716,80.0,5.41603709685823,0.8053550883798767,77.0,1831.35,8.159224717344864,1.2132622110657882,116.0,1279.5333333333333,0.14743222213121468,0.031377470975839344,3.0,0.34400851830616763,0.07321409894362514,7.0,0.29486444426242936,0.06275494195167869,6.0,122.76053284232763,26.126683845343546,2497.9722424532965,89.0982062412974,18.962451626398913,1813.0,1.195748449955713,0.17780566886308963,17.0,0.39315259234990585,0.0836732559355716,8.0,0.14743222213121468,0.031377470975839344,3.0,1.7584536028760485,0.26147892479866125,25.0,0.29486444426242936,0.06275494195167869,6.0,0.14743222213121468,0.031377470975839344,3.0,0.29486444426242936,0.06275494195167869,6.0,112.68736178229175,23.982846982533207,2293.0,9561,0.0,0.0,0.0,0.5405848144811205,0.11505072691141092,11.0,100.25391104922598,21.336680263570756,2040.0,7.224178884429519,1.537496077816128,147.0,1.4771010264158808,0.21964229683087544,21.0,1.0320255549185027,0.21964229683087544,21.0,11.253992956016056,2.395146951155737,229.0,1220.0,16926,4386
Sven Nieuwpoort,3.1383944787504534,0.6519967400162999,32.0,3.628768616055212,0.7538712306438468,37.0,658.8166666666666,9.415183436251361,1.9559902200488997,96.0,917.6666666666667,0.4098256975891118,0.061124694376528114,3.0,0.4098256975891118,0.061124694376528114,3.0,0.0,0.0,0.0,49.991460911782816,7.456127782237099,365.9467515521968,57.64881479420173,8.598207008964955,422.0,0.8826734471485651,0.18337408312958436,9.0,0.5464342634521492,0.08149959250203749,4.0,0.0,0.0,0.0,1.274972756992372,0.26487367563162184,13.0,0.1366085658630373,0.020374898125509373,1.0,0.0,0.0,0.0,0.1366085658630373,0.020374898125509373,1.0,81.41870525437021,12.143439282803586,596.0,4908,0.0,0.0,0.0,0.8196513951782236,0.12224938875305623,6.0,66.80158870702523,9.963325183374083,489.0,2.595562751397708,0.3871230643846781,19.0,0.5884489647657101,0.12224938875305623,6.0,0.2732171317260746,0.040749796251018745,2.0,14.07068228389284,2.0986145069274653,103.0,201.0,14531,7710
Bart Straalman,4.237998323955465,0.7741766172418318,59.0,4.668981204357716,0.852906442724052,65.0,1096.1333333333334,6.752065126301928,1.2334339325547827,94.0,1252.9499999999998,0.08210679965940883,0.01312163758037003,1.0,0.49264079795645294,0.07872982548222018,6.0,0.4105339982970441,0.06560818790185015,5.0,52.48952362815908,8.388446616747988,639.2835166623641,61.74431334387544,9.867471460438262,752.0,1.795762001676045,0.32804093950925073,25.0,0.7389611969346794,0.11809473822333026,9.0,0.08210679965940883,0.01312163758037003,1.0,1.9394229618101282,0.3542842146699908,27.0,0.16421359931881765,0.02624327516074006,2.0,0.08210679965940883,0.01312163758037003,1.0,0.16421359931881765,0.02624327516074006,2.0,86.70478044033571,13.856449284870752,1056.0,7621,0.0,0.0,0.0,0.9852815959129059,0.15745965096444037,12.0,69.38024571220045,11.087783755412675,845.0,4.680087580586303,0.7479333420810916,57.0,1.2211181611397106,0.2230678388662905,17.0,1.1494951952317236,0.18370292612518044,14.0,16.503466731541174,2.637449153654376,201.0,1248.0,16670,8738
Hervé Matthys,2.606025153553672,0.5211623499684144,33.0,2.763966071950864,0.5527479469361971,35.0,921.2833333333335,8.52880959344838,1.705622236260265,108.0,1139.6666666666663,0.1953796334822801,0.03158559696778269,2.0,0.3907592669645602,0.06317119393556538,4.0,0.09768981674114005,0.015792798483891344,1.0,62.440540679636584,10.094305722690953,639.1714383607912,76.00267742460696,12.286797220467466,778.0,0.5527932143901727,0.11054958938723942,7.0,0.1953796334822801,0.03158559696778269,2.0,0.0,0.0,0.0,2.5270546943550753,0.505369551484523,32.0,0.5861389004468402,0.09475679090334807,6.0,0.5861389004468402,0.09475679090334807,6.0,0.4884490837057003,0.07896399241945673,5.0,103.94196501257301,16.803537586860394,1064.0,6332,0.0,0.0,0.0,0.4884490837057003,0.07896399241945673,5.0,80.39871917795826,12.997473152242577,823.0,6.349838088174103,1.0265319014529375,65.0,1.342497806376134,0.26847757422615287,17.0,0.9768981674114006,0.15792798483891346,10.0,16.509579029252667,2.668982943777637,169.0,480.0,14695,26877
Jurgen Mattheij,4.084637727932871,0.8243570015387996,75.0,6.263111182830403,1.2640140690261596,115.0,1341.6500000000008,13.615459093109571,2.747856671795999,250.0,1652.533333333333,0.20124473595945278,0.03297428006155199,3.0,0.26832631461260376,0.04396570674873598,4.0,0.20124473595945278,0.03297428006155199,3.0,126.39754061622328,20.71044434280502,1884.2362263084008,79.08918123206494,12.95889206418993,1179.0,2.3963208003872842,0.48362277423609584,44.0,1.073305258450415,0.17586282699494393,16.0,0.20124473595945278,0.03297428006155199,3.0,2.5597063095045995,0.5165970542976479,47.0,0.7378973651846602,0.12090569355902396,11.0,0.06708157865315094,0.010991426687183996,1.0,0.6037342078783584,0.09892284018465597,9.0,96.32914694592475,15.783688722796219,1436.0,9098,0.0,0.0,0.0,1.744121044981924,0.2857770938667839,26.0,70.7039839004211,11.584963728291932,1054.0,9.123094696828527,1.4948340294570235,136.0,1.8517024366629018,0.37370850736425587,34.0,1.073305258450415,0.17586282699494393,16.0,25.0214288376253,4.099802154319631,373.0,1248.0,14564,27744
Tom Beugelsdijk,4.042390793799906,0.7455050431223506,51.0,5.944692343823391,1.0963309457681627,75.0,1083.1999999999998,8.956669798027242,1.6518052916240316,113.0,1135.4666666666667,0.4154357459379617,0.0730887297178775,5.0,0.5816100443131463,0.1023242216050285,7.0,0.8308714918759234,0.146177459435755,10.0,58.10399932764991,10.222393099077518,699.313911907893,56.3330871491876,9.91083174974419,678.0,2.140089243776421,0.3946791404765385,27.0,1.744830132939439,0.3069726648150855,21.0,0.0,0.0,0.0,4.755753875058713,0.87706475661453,60.0,1.0801329394387003,0.1900306972664815,13.0,0.0,0.0,0.0,0.8308714918759234,0.146177459435755,10.0,76.19091580502217,13.404473030258735,917.0,6841,0.0,0.0,0.0,1.5786558345642543,0.2777371729279345,19.0,55.41912850812408,9.75003654436486,667.0,4.735967503692763,0.8332115187838036,57.0,1.7437764208548614,0.321590410758661,22.0,1.4124815361890695,0.24850168104078352,17.0,20.439438700147715,3.595965502119573,246.0,1047.0,12744,21392
Wilfried Kanon,3.0465817940981683,0.5734230865120917,46.0,2.847891677091766,0.5360259286960858,43.0,1226.9333333333334,8.41121495327103,1.5831463475442533,127.0,1358.8999999999999,0.1467072375570528,0.02493143854400399,2.0,0.2200608563355792,0.037397157816005985,3.0,0.5868289502282112,0.09972575417601597,8.0,42.499056785469556,7.222292778929996,579.3723267257643,49.733753531840904,8.451757666417352,678.0,1.5232908970490842,0.28671154325604586,23.0,1.3203651380134753,0.22438294689603588,18.0,0.0733536187785264,0.012465719272001996,1.0,3.377731989108838,0.6357516828721017,51.0,0.1467072375570528,0.02493143854400399,2.0,0.0733536187785264,0.012465719272001996,1.0,0.1467072375570528,0.02493143854400399,2.0,68.51227993914367,11.642981800049863,934.0,8022,0.0,0.0,0.0,0.6601825690067377,0.11219147344801794,9.0,54.428385133666595,9.24956369982548,742.0,3.007498369919583,0.5110944901520819,41.0,2.5167414820810956,0.47369733233607575,38.0,1.0269506628993696,0.17452006980802792,14.0,13.570419474027384,2.306158065320369,185.0,811.0,15401,25212
