,aerialsTotal,aerialsWon,clearances,cornersAccurate,cornersTotal,defensiveAerials,dispossessed,dribbledPast,dribblesAttempted,dribblesLost,dribblesWon,errorsCount,foulsCommited,interceptions,offensiveAerials,offsidesCaught,passesAccurate,passesKey,passesTotal,possession,shotsBlocked,shotsOffTarget,shotsOnTarget,shotsTotal,tackleSuccessful,tackleUnsuccesful,tacklesTotal,throwInsAccurate,throwInsTotal,touches
aerialsTotal,1.0,0.875350498854204,0.29178736886520906,-0.019648124984130426,0.025093932033146762,0.7726298141634482,-0.05303548780526757,-0.16197956812081726,-0.13498419850628057,-0.03092901715895397,-0.16197878188240455,-0.056746647266770624,0.07797655883299852,-0.12213718634196566,0.7722415927610012,0.020156589908208105,-0.25797932119712924,-0.04654306074230767,-0.19628193039365957,-0.18425401753492424,0.01835206125532682,0.037770585879281955,-0.09941038912021981,-0.020531887495540746,-0.060277426518770216,-0.16197956812081726,-0.13432594639359124,0.15384101401597347,0.2851810511938021,-0.15531968672598687
aerialsWon,0.875350498854204,1.0,0.31012909926321175,0.019029933685296242,0.014923265468930186,0.6961336661948095,-0.05609344765191276,-0.1583294095512301,-0.1039012311313131,-0.022723836210811185,-0.12543014432644461,-0.05179997794545285,0.06496033771423117,-0.09212742386384638,0.6561555554550885,0.021615269309663232,-0.21142711116423066,0.00030100742948718166,-0.1605212651445861,-0.15010519899996633,0.02867787961570076,0.05879845827012439,-0.05855685715679481,0.012736657559749296,-0.047875692637950835,-0.1583294095512301,-0.12394273583732493,0.12349389987707447,0.23062189227488944,-0.11870404223509143
clearances,0.29178736886520906,0.31012909926321175,1.0,-0.19673184682823414,-0.29545498547042665,0.2980354136129703,-0.10532016163776421,0.0757170538302748,-0.22126220283703127,-0.09177448369327301,-0.2370524453067094,-0.05776126738074058,0.10507805748952374,0.12414240732094343,0.1526845590794219,-0.008215671317333554,-0.4618539940629917,-0.2686835044532026,-0.4586064976961574,-0.4698085435668222,-0.2193134591332926,-0.25619202224017285,-0.16574829176459904,-0.2920628537641825,0.0729893798182488,0.0757170538302748,0.0926410741650949,-0.24983608232138574,-0.12873923036634452,-0.408924771457329
cornersAccurate,-0.019648124984130426,0.019029933685296242,-0.19673184682823414,1.0,0.7375057031713523,0.11344245877668371,0.03651189979963545,-0.16511181231791938,0.19943920357019476,0.10803882897606679,0.1961327008862094,-0.02088884024920328,-0.07485910207450988,-0.2119396706979677,-0.14389194915421766,-0.01660716276795738,0.35507468914757084,0.5458234802110861,0.3463009417908404,0.3613293809582449,0.4092157684278995,0.36377392926737756,0.3934306498736369,0.5307945130480254,-0.08266062022882073,-0.16511181231791938,-0.15105688300262077,0.14295175608323263,0.06122561458056506,0.36629720456678605
cornersTotal,0.025093932033146762,0.014923265468930186,-0.29545498547042665,0.7375057031713523,1.0,0.11291557389220004,0.06992429491769847,-0.21127510342925654,0.2160333453874623,0.1093441856715307,0.21777526634584696,-0.0010457479866901012,-0.08950816547872871,-0.2530556010397901,-0.07421823698940258,-0.016110478968673635,0.383297287369968,0.5517700108128494,0.3800201259865592,0.41087415517777504,0.5117709898268399,0.4015469489744919,0.3661164990606399,0.5804990935982653,-0.13070252339159408,-0.21127510342925654,-0.20989758005384215,0.24905004450683343,0.1434688237686985,0.4106643967844637
defensiveAerials,0.7726298141634482,0.6961336661948095,0.2980354136129703,0.11344245877668371,0.11291557389220004,1.0,-0.002670677693597829,-0.23860762434658742,-0.0016057080217403309,0.014149765717941083,-0.011984913193265154,-0.08301165623798168,0.004757886393102001,-0.2501976184874776,0.1933139434417845,-0.01688611717094796,0.0783969670269638,0.14816820301403147,0.12634515353635503,0.13097067794799985,0.12171006274453171,0.13785796234901104,0.10680960333608279,0.1669529605651032,-0.09884067234786169,-0.23860762434658742,-0.20456477536526207,0.20755426204697797,0.24866255306280224,0.16776796674099226
dispossessed,-0.05303548780526757,-0.05609344765191276,-0.10532016163776421,0.03651189979963545,0.06992429491769847,-0.002670677693597829,1.0,0.010593213822783597,0.13295553241726232,0.03336485275064159,0.157534787727557,0.07721967853801914,-0.059833667723688866,0.008711508072796652,-0.07929082126457437,-0.0014377296950246498,0.07590759819458819,-0.013601076011426013,0.08104363163655195,0.08149710044406112,0.004766064614842443,-0.024657875814277433,0.0056457576967371415,-0.006785873365596383,0.13204622952695402,0.010593213822783597,0.09411731834758746,0.2224324888692729,0.19097517113729012,0.1283197420243945
dribbledPast,-0.16197956812081726,-0.1583294095512301,0.0757170538302748,-0.16511181231791938,-0.21127510342925654,-0.23860762434658742,0.010593213822783597,1.0,0.02061622382996818,0.006720807907523917,0.023355569986691686,0.06639622634213377,0.10246500899227023,0.170093825176318,-0.011545594673592225,0.03410953606141746,-0.2006502573581242,-0.2453464481891268,-0.21179091103177605,-0.22196266139319273,-0.18355863386647708,-0.22425122624845661,-0.144846899814842,-0.25186660088587803,0.28179541788008283,1.0,0.7691036550735738,-0.19568832392766536,-0.15193159980980525,-0.20959183077479077
dribblesAttempted,-0.13498419850628057,-0.1039012311313131,-0.22126220283703127,0.19943920357019476,0.2160333453874623,-0.0016057080217403309,0.13295553241726232,0.02061622382996818,1.0,0.7043814702922128,0.8707216637980689,0.03680983502204825,-0.059998860989468106,-0.04145010381693081,-0.20700389448955728,-0.010383176555243373,0.3012028557384212,0.25164858961177783,0.2926183481518083,0.29396733840785694,0.18461260851732117,0.15917435098896232,0.21715043651037386,0.2555692911658434,0.04340858849618002,0.02061622382996818,0.04090143657565989,0.19161415204845425,0.12317549039393925,0.3509537690045089
dribblesLost,-0.03092901715895397,-0.022723836210811185,-0.09177448369327301,0.10803882897606679,0.1093441856715307,0.014149765717941083,0.03336485275064159,0.006720807907523917,0.7043814702922128,1.0,0.2642468563104707,0.015483643235411987,-0.020216899900586158,-0.002734772713067066,-0.0619594171326067,-0.04334794214600924,0.12593596442610738,0.07331304054610237,0.12369139181282629,0.12429004666421835,0.059353837028833914,0.05105072131558906,0.06499318081929223,0.07987062815170132,0.06852095823422726,0.006720807907523917,0.049550542306537146,0.1639709060805629,0.16678370941429055,0.16920596443560362
