,aerialsTotal,aerialsWon,clearances,cornersAccurate,cornersTotal,defensiveAerials,dispossessed,dribbledPast,dribblesAttempted,dribblesLost,dribblesWon,errorsCount,foulsCommited,goals,goalsConceded,home,interceptions,name,offensiveAerials,offsidesCaught,passesAccurate,passesKey,passesTotal,possession,result,shotsBlocked,shotsOffTarget,shotsOnPost,shotsOnTarget,shotsTotal,tackleSuccessful,tackleUnsuccesful,tacklesTotal,throwInsAccurate,throwInsTotal,touches
0,70.0,36.0,30.0,2.0,2.0,22.0,8.0,2.0,6.0,4.0,2.0,0.0,9.0,0,1,0.0,11.0,Burnley,48.0,0.0,243.0,9.0,352.0,367.0,l,3.0,9.0,0.0,1.0,13.0,17.0,2.0,19.0,16.0,19.0,523.0
1,70.0,34.0,21.0,3.0,5.0,48.0,12.0,2.0,7.0,5.0,2.0,0.0,10.0,1,0,1.0,4.0,Swansea,22.0,2.0,366.0,10.0,465.0,492.0,w,7.0,2.0,0.0,4.0,13.0,12.0,2.0,14.0,19.0,23.0,641.0
2,63.0,32.0,26.0,4.0,7.0,20.0,14.0,21.0,19.0,7.0,12.0,0.0,7.0,0,2,0.0,12.0,Watford,43.0,1.0,323.0,10.0,442.0,475.0,l,4.0,3.0,0.0,4.0,11.0,16.0,21.0,37.0,22.0,27.0,659.0
3,63.0,31.0,48.0,2.0,8.0,43.0,12.0,12.0,26.0,5.0,21.0,0.0,11.0,2,0,1.0,11.0,West Ham,20.0,3.0,150.0,7.0,246.0,269.0,w,2.0,2.0,0.0,4.0,8.0,21.0,12.0,33.0,13.0,24.0,482.0
4,75.0,44.0,48.0,3.0,4.0,41.0,9.0,12.0,12.0,2.0,10.0,0.0,10.0,1,1,0.0,17.0,Brighton,34.0,3.0,233.0,13.0,361.0,373.0,d,1.0,7.0,0.0,6.0,14.0,28.0,12.0,40.0,11.0,19.0,574.0
5,75.0,31.0,29.0,2.0,7.0,34.0,26.0,10.0,14.0,2.0,12.0,0.0,6.0,1,1,1.0,8.0,Stoke,41.0,2.0,352.0,10.0,465.0,502.0,d,6.0,6.0,0.0,3.0,15.0,11.0,10.0,21.0,31.0,40.0,700.0
6,29.0,13.0,22.0,0.0,2.0,21.0,10.0,16.0,12.0,4.0,8.0,1.0,9.0,0,1,0.0,11.0,Arsenal,8.0,6.0,413.0,4.0,509.0,533.0,l,2.0,3.0,0.0,1.0,6.0,12.0,16.0,28.0,10.0,10.0,680.0
7,29.0,16.0,23.0,6.0,10.0,8.0,5.0,8.0,23.0,7.0,16.0,0.0,13.0,1,0,1.0,7.0,Tottenham,21.0,1.0,411.0,15.0,494.0,531.0,w,1.0,11.0,0.0,6.0,18.0,14.0,8.0,22.0,16.0,21.0,690.0
8,41.0,27.0,37.0,2.0,7.0,21.0,10.0,21.0,21.0,6.0,15.0,0.0,15.0,1,3,0.0,16.0,Crystal Palace,20.0,1.0,265.0,12.0,345.0,368.0,l,7.0,5.0,0.0,4.0,16.0,10.0,21.0,31.0,24.0,28.0,576.0
9,41.0,14.0,27.0,2.0,8.0,20.0,5.0,15.0,26.0,5.0,21.0,1.0,14.0,3,1,1.0,7.0,Everton,21.0,2.0,298.0,6.0,389.0,414.0,w,4.0,2.0,0.0,5.0,11.0,16.0,15.0,31.0,18.0,22.0,601.0
10,28.0,16.0,28.0,0.0,2.0,6.0,7.0,20.0,17.0,4.0,13.0,2.0,12.0,1,5,0.0,14.0,Leicester,22.0,2.0,194.0,1.0,292.0,307.0,l,0.0,0.0,0.0,2.0,2.0,18.0,20.0,38.0,6.0,11.0,465.0
11,28.0,12.0,10.0,8.0,8.0,22.0,12.0,13.0,26.0,6.0,20.0,1.0,10.0,5,1,1.0,6.0,Man City,6.0,1.0,616.0,17.0,708.0,728.0,w,2.0,6.0,0.0,11.0,19.0,10.0,13.0,23.0,22.0,24.0,890.0
12,36.0,20.0,22.0,4.0,4.0,20.0,12.0,7.0,21.0,6.0,15.0,1.0,16.0,0,2,0.0,17.0,Tottenham,16.0,1.0,436.0,12.0,549.0,575.0,l,2.0,8.0,0.0,4.0,14.0,12.0,7.0,19.0,26.0,28.0,768.0
13,36.0,16.0,37.0,1.0,7.0,16.0,7.0,15.0,12.0,5.0,7.0,2.0,11.0,2,0,1.0,16.0,Arsenal,20.0,8.0,281.0,11.0,399.0,418.0,w,5.0,4.0,0.0,5.0,14.0,18.0,15.0,33.0,18.0,21.0,618.0
14,34.0,12.0,10.0,6.0,11.0,10.0,9.0,4.0,14.0,3.0,11.0,1.0,10.0,0,4,0.0,10.0,Huddersfield,24.0,0.0,441.0,14.0,539.0,586.0,l,6.0,10.0,0.0,3.0,19.0,19.0,4.0,23.0,25.0,25.0,736.0
15,34.0,22.0,48.0,6.0,8.0,24.0,14.0,11.0,9.0,5.0,4.0,0.0,13.0,4,0,1.0,8.0,Bournemouth,10.0,1.0,147.0,6.0,246.0,259.0,w,0.0,4.0,0.0,5.0,9.0,12.0,11.0,23.0,10.0,15.0,429.0
16,27.0,13.0,34.0,2.0,4.0,11.0,10.0,12.0,17.0,5.0,12.0,0.0,9.0,1,4,0.0,9.0,Newcastle,16.0,1.0,260.0,10.0,344.0,360.0,l,1.0,6.0,0.0,5.0,12.0,18.0,12.0,30.0,11.0,12.0,526.0
17,27.0,14.0,20.0,6.0,11.0,16.0,6.0,12.0,24.0,12.0,12.0,0.0,10.0,4,1,1.0,5.0,Man Utd,11.0,1.0,542.0,13.0,620.0,660.0,w,3.0,6.0,0.0,7.0,16.0,15.0,12.0,27.0,25.0,26.0,811.0
18,29.0,18.0,36.0,1.0,2.0,13.0,6.0,15.0,8.0,5.0,3.0,2.0,9.0,0,3,0.0,12.0,Southampton,16.0,2.0,261.0,4.0,362.0,375.0,l,2.0,3.0,0.0,0.0,5.0,26.0,15.0,41.0,17.0,20.0,553.0
19,29.0,11.0,20.0,4.0,10.0,16.0,9.0,3.0,32.0,17.0,15.0,0.0,15.0,3,0,1.0,6.0,Liverpool,13.0,2.0,472.0,14.0,562.0,589.0,w,7.0,6.0,0.0,8.0,21.0,11.0,3.0,14.0,23.0,25.0,765.0
20,25.0,13.0,17.0,2.0,7.0,16.0,8.0,10.0,16.0,3.0,13.0,0.0,10.0,2,0,0.0,9.0,Man City,9.0,1.0,705.0,10.0,784.0,800.0,w,2.0,6.0,0.0,4.0,12.0,13.0,10.0,23.0,16.0,19.0,943.0
21,25.0,12.0,24.0,1.0,1.0,9.0,8.0,13.0,15.0,5.0,10.0,0.0,8.0,0,2,1.0,11.0,Leicester,16.0,3.0,175.0,1.0,266.0,271.0,l,1.0,1.0,0.0,0.0,2.0,11.0,13.0,24.0,22.0,26.0,424.0
22,33.0,17.0,46.0,0.0,4.0,16.0,7.0,13.0,14.0,5.0,9.0,0.0,26.0,2,2,0.0,20.0,Everton,17.0,1.0,159.0,5.0,248.0,260.0,d,1.0,2.0,0.0,5.0,8.0,34.0,13.0,47.0,12.0,18.0,467.0
23,33.0,16.0,16.0,3.0,9.0,17.0,22.0,9.0,25.0,12.0,13.0,1.0,9.0,2,2,1.0,13.0,Crystal Palace,16.0,1.0,439.0,9.0,539.0,570.0,d,4.0,5.0,0.0,7.0,16.0,12.0,9.0,21.0,36.0,38.0,778.0
24,32.0,13.0,20.0,1.0,4.0,17.0,9.0,10.0,24.0,9.0,15.0,1.0,12.0,4,0,0.0,10.0,Chelsea,15.0,1.0,529.0,8.0,610.0,635.0,w,2.0,2.0,0.0,7.0,11.0,14.0,10.0,24.0,13.0,15.0,786.0
25,32.0,19.0,16.0,1.0,3.0,15.0,8.0,15.0,16.0,6.0,10.0,0.0,13.0,0,4,1.0,13.0,West Brom,17.0,3.0,307.0,5.0,378.0,400.0,l,0.0,5.0,0.0,2.0,7.0,18.0,15.0,33.0,15.0,18.0,560.0
26,46.0,22.0,29.0,1.0,6.0,34.0,16.0,6.0,22.0,7.0,15.0,0.0,12.0,0,2,0.0,8.0,Swansea,12.0,1.0,379.0,11.0,471.0,505.0,l,4.0,9.0,0.0,1.0,14.0,10.0,6.0,16.0,25.0,25.0,686.0
27,46.0,24.0,18.0,2.0,8.0,12.0,7.0,15.0,9.0,3.0,6.0,0.0,12.0,2,0,1.0,8.0,Burnley,34.0,3.0,204.0,13.0,296.0,326.0,w,6.0,4.0,0.0,7.0,17.0,23.0,15.0,38.0,12.0,16.0,484.0
28,53.0,28.0,24.0,2.0,5.0,27.0,15.0,8.0,17.0,4.0,13.0,0.0,8.0,0,0,0.0,13.0,Crystal Palace,26.0,0.0,295.0,5.0,405.0,425.0,d,1.0,5.0,0.0,4.0,10.0,9.0,8.0,17.0,8.0,12.0,587.0
29,53.0,25.0,18.0,5.0,10.0,26.0,6.0,13.0,11.0,3.0,8.0,0.0,13.0,0,0,1.0,8.0,Brighton,27.0,5.0,334.0,9.0,452.0,484.0,d,2.0,4.0,0.0,4.0,10.0,19.0,13.0,32.0,25.0,28.0,637.0
30,34.0,18.0,16.0,5.0,9.0,18.0,13.0,9.0,20.0,10.0,10.0,0.0,10.0,1,2,0.0,11.0,Tottenham,16.0,1.0,465.0,16.0,561.0,592.0,l,3.0,9.0,0.0,6.0,18.0,19.0,9.0,28.0,22.0,25.0,764.0
31,34.0,16.0,45.0,2.0,4.0,16.0,9.0,10.0,19.0,10.0,9.0,0.0,7.0,2,1,1.0,14.0,Leicester,18.0,2.0,240.0,6.0,336.0,354.0,w,0.0,3.0,0.0,4.0,7.0,23.0,10.0,33.0,18.0,22.0,560.0
32,54.0,27.0,29.0,2.0,6.0,32.0,16.0,11.0,12.0,6.0,6.0,0.0,12.0,2,2,0.0,7.0,Newcastle,22.0,2.0,342.0,10.0,435.0,460.0,d,5.0,5.0,0.0,4.0,14.0,18.0,11.0,29.0,22.0,25.0,655.0
33,54.0,27.0,29.0,0.0,1.0,22.0,7.0,6.0,22.0,11.0,11.0,0.0,13.0,2,2,1.0,13.0,West Brom,32.0,0.0,305.0,5.0,401.0,423.0,d,2.0,2.0,1.0,4.0,8.0,22.0,6.0,28.0,18.0,20.0,610.0
34,32.0,16.0,38.0,1.0,5.0,16.0,11.0,14.0,18.0,5.0,13.0,0.0,10.0,4,2,0.0,10.0,Man Utd,16.0,0.0,257.0,10.0,346.0,358.0,w,5.0,3.0,0.0,7.0,15.0,14.0,14.0,28.0,19.0,25.0,545.0
35,32.0,16.0,24.0,1.0,5.0,16.0,11.0,13.0,17.0,3.0,14.0,0.0,12.0,2,4,1.0,13.0,Watford,16.0,0.0,411.0,10.0,496.0,524.0,l,4.0,5.0,1.0,3.0,12.0,16.0,13.0,29.0,23.0,25.0,703.0
36,44.0,19.0,47.0,5.0,9.0,30.0,15.0,7.0,29.0,10.0,19.0,1.0,13.0,3,0,0.0,8.0,West Ham,14.0,1.0,295.0,11.0,372.0,385.0,w,1.0,6.0,1.0,7.0,14.0,7.0,7.0,14.0,18.0,25.0,593.0
37,44.0,25.0,14.0,3.0,7.0,14.0,4.0,19.0,10.0,3.0,7.0,1.0,12.0,0,3,1.0,9.0,Stoke,30.0,0.0,333.0,15.0,432.0,465.0,l,9.0,8.0,1.0,0.0,17.0,25.0,19.0,44.0,19.0,21.0,624.0
38,45.0,22.0,35.0,2.0,4.0,27.0,9.0,21.0,27.0,7.0,20.0,0.0,13.0,3,0,0.0,16.0,Crystal Palace,18.0,0.0,275.0,11.0,368.0,380.0,w,4.0,3.0,0.0,6.0,13.0,25.0,21.0,46.0,12.0,22.0,588.0
39,45.0,23.0,12.0,3.0,6.0,18.0,10.0,20.0,36.0,15.0,21.0,0.0,12.0,0,3,1.0,12.0,Leicester,27.0,0.0,357.0,7.0,452.0,486.0,l,4.0,5.0,0.0,2.0,11.0,16.0,20.0,36.0,25.0,27.0,678.0
40,21.0,12.0,25.0,0.0,4.0,10.0,11.0,28.0,10.0,3.0,7.0,1.0,16.0,0,1,0.0,15.0,Southampton,11.0,2.0,386.0,4.0,474.0,491.0,l,2.0,2.0,0.0,2.0,6.0,20.0,28.0,48.0,13.0,17.0,654.0
41,21.0,9.0,17.0,4.0,8.0,11.0,7.0,7.0,41.0,13.0,28.0,0.0,8.0,1,0,1.0,7.0,Chelsea,10.0,3.0,467.0,20.0,545.0,567.0,w,8.0,8.0,0.0,8.0,24.0,13.0,7.0,20.0,24.0,28.0,768.0
42,45.0,24.0,20.0,3.0,7.0,21.0,12.0,10.0,13.0,6.0,7.0,0.0,17.0,4,1,0.0,10.0,Huddersfield,24.0,3.0,225.0,10.0,310.0,327.0,w,2.0,4.0,0.0,9.0,15.0,24.0,10.0,34.0,11.0,19.0,509.0
43,45.0,21.0,14.0,3.0,8.0,24.0,20.0,7.0,14.0,4.0,10.0,2.0,12.0,1,4,1.0,12.0,Watford,21.0,3.0,356.0,10.0,452.0,479.0,l,3.0,7.0,0.0,3.0,13.0,18.0,7.0,25.0,28.0,32.0,662.0
44,9.0,6.0,13.0,0.0,1.0,3.0,12.0,14.0,19.0,6.0,13.0,1.0,20.0,1,4,0.0,17.0,Tottenham,6.0,2.0,327.0,4.0,412.0,421.0,l,1.0,4.0,0.0,2.0,7.0,17.0,14.0,31.0,22.0,26.0,607.0
45,9.0,3.0,7.0,3.0,5.0,6.0,13.0,13.0,18.0,4.0,14.0,0.0,13.0,4,1,1.0,11.0,Man City,3.0,4.0,370.0,15.0,456.0,472.0,w,2.0,7.0,1.0,11.0,20.0,18.0,13.0,31.0,13.0,18.0,650.0
46,64.0,38.0,41.0,2.0,5.0,20.0,10.0,21.0,15.0,7.0,8.0,0.0,9.0,0,1,0.0,14.0,Newcastle,44.0,2.0,201.0,8.0,299.0,314.0,l,4.0,4.0,0.0,2.0,10.0,21.0,21.0,42.0,8.0,11.0,512.0
47,64.0,26.0,24.0,5.0,7.0,44.0,13.0,8.0,29.0,8.0,21.0,1.0,13.0,1,0,1.0,12.0,Arsenal,20.0,1.0,649.0,18.0,761.0,779.0,w,7.0,11.0,0.0,5.0,23.0,17.0,8.0,25.0,19.0,21.0,969.0
48,68.0,36.0,28.0,2.0,2.0,28.0,9.0,9.0,13.0,2.0,11.0,0.0,13.0,0,0,0.0,10.0,Burnley,40.0,2.0,243.0,8.0,358.0,375.0,d,4.0,0.0,0.0,7.0,11.0,12.0,9.0,21.0,8.0,15.0,536.0
49,68.0,32.0,37.0,1.0,8.0,40.0,6.0,11.0,15.0,6.0,9.0,0.0,13.0,0,0,1.0,9.0,Brighton,28.0,2.0,375.0,8.0,475.0,513.0,d,4.0,6.0,1.0,2.0,12.0,11.0,11.0,22.0,28.0,33.0,695.0
50,35.0,16.0,20.0,0.0,2.0,19.0,11.0,12.0,19.0,7.0,12.0,2.0,8.0,1,4,0.0,10.0,Chelsea,16.0,1.0,423.0,5.0,512.0,531.0,l,2.0,2.0,0.0,3.0,7.0,16.0,12.0,28.0,11.0,12.0,699.0
51,35.0,19.0,11.0,3.0,6.0,16.0,10.0,12.0,18.0,6.0,12.0,0.0,11.0,4,1,1.0,17.0,Watford,19.0,1.0,327.0,17.0,409.0,428.0,w,4.0,9.0,0.0,8.0,21.0,18.0,12.0,30.0,16.0,21.0,584.0
52,26.0,15.0,19.0,4.0,5.0,17.0,9.0,19.0,30.0,12.0,18.0,0.0,7.0,4,1,0.0,14.0,Tottenham,9.0,3.0,465.0,9.0,556.0,582.0,w,3.0,1.0,0.0,8.0,12.0,20.0,19.0,39.0,12.0,19.0,766.0
53,26.0,11.0,25.0,2.0,4.0,9.0,13.0,18.0,26.0,7.0,19.0,2.0,10.0,1,4,1.0,14.0,Bournemouth,17.0,0.0,226.0,9.0,332.0,345.0,l,4.0,7.0,1.0,3.0,14.0,21.0,18.0,39.0,15.0,21.0,543.0
54,39.0,18.0,16.0,2.0,9.0,12.0,12.0,8.0,17.0,7.0,10.0,0.0,9.0,0,3,0.0,15.0,Watford,27.0,3.0,246.0,6.0,324.0,350.0,l,2.0,5.0,0.0,4.0,11.0,13.0,8.0,21.0,18.0,28.0,524.0
55,39.0,21.0,32.0,2.0,4.0,27.0,7.0,10.0,14.0,6.0,8.0,1.0,12.0,3,0,1.0,10.0,Arsenal,12.0,5.0,417.0,10.0,502.0,518.0,w,0.0,4.0,0.0,7.0,11.0,19.0,10.0,29.0,14.0,17.0,693.0
56,17.0,8.0,18.0,3.0,3.0,6.0,7.0,6.0,9.0,2.0,7.0,0.0,10.0,4,0,0.0,21.0,Liverpool,11.0,4.0,576.0,17.0,655.0,677.0,w,2.0,12.0,2.0,7.0,21.0,12.0,6.0,18.0,16.0,18.0,830.0
57,17.0,9.0,17.0,0.0,2.0,11.0,10.0,7.0,8.0,2.0,6.0,1.0,5.0,0,4,1.0,6.0,Bournemouth,6.0,2.0,414.0,6.0,511.0,532.0,l,2.0,2.0,1.0,2.0,6.0,9.0,7.0,16.0,18.0,24.0,661.0
58,22.0,13.0,20.0,1.0,3.0,16.0,10.0,9.0,15.0,5.0,10.0,1.0,7.0,2,1,0.0,17.0,Man Utd,6.0,1.0,484.0,7.0,588.0,607.0,w,3.0,2.0,0.0,3.0,8.0,12.0,9.0,21.0,20.0,20.0,763.0
59,22.0,9.0,14.0,2.0,6.0,6.0,7.0,10.0,14.0,5.0,9.0,0.0,14.0,1,2,1.0,20.0,West Brom,16.0,1.0,341.0,11.0,433.0,459.0,l,4.0,3.0,0.0,5.0,12.0,15.0,10.0,25.0,22.0,24.0,607.0
60,31.0,22.0,27.0,3.0,7.0,14.0,9.0,11.0,23.0,5.0,18.0,0.0,5.0,2,2,0.0,14.0,Stoke,17.0,1.0,316.0,11.0,396.0,423.0,d,5.0,2.0,0.0,6.0,13.0,10.0,11.0,21.0,17.0,24.0,591.0
61,31.0,9.0,17.0,2.0,6.0,17.0,5.0,18.0,16.0,5.0,11.0,2.0,13.0,2,2,1.0,15.0,Brighton,14.0,3.0,364.0,6.0,462.0,493.0,d,0.0,6.0,0.0,3.0,9.0,14.0,18.0,32.0,16.0,17.0,635.0
